1000 square meter	mål(et)
pulp factory	tremassefabrikk(en)
pulse	puls(en)
punishing cane	ris(et)
punishment	"straff(en), bot(en)"
pupil	elev(en)
pure	"ren, bar"
purpose	"hensikt(en), formål(et)"
purse	veske(n)
quake	rystelse(n)
qualified	kyndig
qualified to vote	stemmeberettiget
quality	kvalitet(en)
quantity	antall(et)
quarter	kvart
quay	"kai(en), brygge(n)"
quayside house	sjøhus(et)
qube	kloss(en)
queen	dronning(en)
queue	kø(en)
quick	rask
quiet	"stille, taus"
quiet	ro(en)
quiz	spørrekonkurranse(n)
quotation	sitat(et)
quote[s]	sitere[r]
quoted	siterte
rabbit	kanin(en)
race	rase(n)
racing track for toy cars	bilbane(n)
rack	reol(en)
radar	radar(en)
radio	radio(en)
raffle ticket	lodd(et)
railroad	jernbane(n)
railroad company	jernbaneselskap(et)
railroad worker	jernbanearbeider(en)
rain	regn(et)
rainbow	regnbue(n)
raise[s]	opph&oslah;ye[r]
ran	"løp, sprang"
ran	drev
rancid	besk
rank	rang(en)
rape	voldtekt(en)
rape[s|d]	voldta[r|tt]
raspberry	bringebær(et)
rat	rotten(n)
rat's nest	rottereir(et)
rather	"heller, helst"
rather	ganske
raw	rå
read (past tense)	leste
read[s]	lese[r]
reach[es|ed]	nå[r|dd]
reach[es]	rekke[r]
real	ekte
real	skikkelig
real estate	eiendom(men)
real estate owner	gårdeier(en)
real estate unit number	bnr. = bruksnummer(et)
real estate unit number	bruksnummer(et)
realize[s]	realisere[r]
realize[s]	innse[r]
reality	realitet(en)
rear[s|ed]	oppfostre[r|t]
rear[s|ed]	fostre[r|t]
reasearch	forskning(en)
reason	"årsak(en), grunn(en)"
reason	anledning(en)
reasonable	rimlig
receive[s|ed]	"få[r|tt], motta[r|tt]"
receive[s|ed] by transaction	overta[r|tt]
received	fått
received	overtok
recently	nylig
reception desk	resepsjon(en)
recipient	mottaker(en)
reckon[s|ed]	regne[r|t]
record	opptegnelse(n)
music record	plate(en)
record[s]	"registrere[r], føre[r], anføre[r]"
recorded	"registrert[e], ført[e], anført[e]"
recreational area	fritidsområde(t)
rectory	prestegård(en)
red	rød
red currant	rips(en)
redeem[s]	utløse[r]
reduce[s|d]	forringe[r|t]
reed	siv(et)
reef	skjær(et)
refuse[s|d]	"nekte[r|t], avslå[r|tt]"
refused	avslo
regarding	vedrørende
regiment	regiment(et)
region of a country	landsdel(en)
region	trakter
regional director	distriktsjef(en)
regional society	bygdelag(et)
register	register(et)
register of birth	fødselsregister(et)
register[s]	innmelde[r]
registration	stadfestelse(n)
regret	anger(en)
regret[s|ed]	angre[r|t]
regret[s|ed]	beklage[r|t]
regulation	forskrift(en)
reindeer	reinsdyr(et)
related	beslektet
relationship	forhold(et)
relative	slektning(en)
relatives	slekt(en)
relay	overføring(en)
relay[s]	overføre[r]
release[s]	utløse[r]
religion	religion(en)
religious belief	trossamfunn(et)
remainder	rest(en)
remainder	øvrig
remark	"anmerkning(en), bemerkning(en)"
remedy	middel(et)
remember[s|ed]	huske[r|t]
remoulade	remulade(n)
rendezvous	stevnemøte(t)
rent	leie(n)
rent[s|ed]	leie[r|t]
rented	leid[e]
reorganization	omordning(en)
repair	reparasjon(en)
repair shop	verksted(et)
repair[s]	reparere[r]
repairman	reparatør(en)
repeat[es|ed]	gjenta[r|tt]
replace[s|d]	bytte[r|t]
report[s]	melde[r]
reported	meldt[e]
represent[s]	representere[r]
representation	representasjon(en)
representative	"representant(en), agent(en)"
repulsive	vemmelig
reputation	omtale(n)
request[s]	be[r]
requirement	behov(et)
reservation	bestilling(en)
reserve[s]	reservere[r]
reserved	reservert
residence	"bosted(et), oppholdssted(et), bolig(en), bopel(en)"
resident	beboer(en)
residing	hjemmehørende
resignation	avskjed(en)
resound[s|ed]	gjalle[r|t]
resourcefull	snarrådig
respect	respekt(en)
respectable	ansett
respectable	anstendig
respectfully	ærbødig
responsibility	ansvar(et)
rest	rest(en)
rest[s]	hvile[r]
rested	hvilt[e]
restrict[s|ed]	"begrense[r|t], hemme[r|t]"
result	utslag(et)
retarded	"evneveik, sinnsvak"
retire[s|ed]	avgå[r|tt]
retired person	pensjonist(en)
retirement	pensjonering(en)
return	retur(en)
date of return	returdato(en)
return[s]	tilbakelevere[r]
returned	tilbakelevert[e]
reverberate[s|d]	gjalle[r|t]
reverse	baklengs
reverse	bakover
review	omtale(n)
review	gjennomsyn(et)
reviewer	anmelder(en)
reward	"belønning(en), påskjønnelse(n), lønn(en)"
reward[es|ed]	belønne[r|t]
rheumatic	giktbrudden
rheumatic fever	giktfeber(en)
rheumatism	gikt(en)
pork rib	ribbe(n)
ribbon	bånd(et)
rice	ris(et)
rich	rik
rickets	engelsk syke
riddle	gåte(n)
ride[s]	ride[r]
rider	rytter(en)
rifle	rifle(n)
right	rett
right	skikkelig
right hand side	høyre
right away	straks
right of use	bruksrett(en)
right to re-purchase	gjenkjøpsrett(en)
righteous	rettferdig
rigid	bastant
ring	ring(en)
ring[s]	ringe[r]
rioter	opprør(en)
risk	risiko(en)
risky	risikabel
river	elv(en)
river bed	elveleie(t)
river driving	tømmerfløting(en)
river side	bredde(n)
road	vei(en)
public road	alfarvei(en)
road worker	veiarbeider(en)
rob[s]	rane[r]
robbed	rante
robbery	ran(et)
rocket	rakett(en)
rod	"stang(en), stav(en)"
roll	rulle(n)
roll[s]	rulle[r]
roof	tak(et)
room	"rom(met), kammers(et)"
root	rot(en)
roots	røtter
the roots	røttene
rope	tau(et)
rotate[s]	rotere[r]
rotated	roterte
rotten	rotten
rough	stri
roughly	omtrent
round	rund
rounded wooden box	tine(n)
route	"rute(en), linje(n)"
row	rekke(n)
row[s|ed]	ro[r|dde]
rowan	rogn(en)
rowan tree	rognetre(et)
rowing boat	robåt(en)
royal	kongelig
royal estate	krongods(et)
rucksack	"ryggsekk(en), ransel(en), sekk(en)"
rugged	ulendt
ruin[s]	ødelegge[r]
ruins	ruiner
rule	"regel(en), forskrift(en)"
rule[s|d]	herske[r|t]
rumble[s|d]	buldre[r|t]
run[s]	drive[r]
run[s]	løpe[r]
running water	rennende vann
running	drift(en)
run[s]	springe[r]
rural area	"land(et), bygd(en)"
rural cronicles	bygdebok(en)
rural neightbourhood/area	grend(en)
rural settlement	grend(en)
rush	kikk(et)
rush[es]	"haste[r], bruse[r]"
rushing sound	brus(et)
rye	rug(et)
s.r. = senior	d.e. = den eldre
Sabbath	sabbat(en)
sack	sekk(en)
sacrament	nattverd(en)
sacrifice	offer(et)
sad	lei seg
saddle	"sadel(en), sal(en)"
saddler	sadelmaker(en)
safe	sikker
safe to operate	driftsikkert
safety	sikkerhet(en)
said	sa
sail	seil(et)
sail[s]	seile[r]
sailboat	seilbåt(en)
sailed	seilte
sailmaker	seilmager(en)
sailor	"matros(en), sjømann(en)"
sailor's home	sjømannshjem(met)
saint	helgen(en)
sale	salg(et)
sales agency	agentur(et)
saleswoman	"ekspeditrise(n), butikkdame(n)"
sallow	selje(en)
salmon	laks(en)
salt	salt(et)
same	samme
same as above	ditto
sand	sand(en)
sang	sang
sarcastic	spydig
sat	satt
satisfied	mett
Saturday	lørdag(en)
sauna	badstue(n)
sausage	pølse(n)
sausage maker	pølsemaker(en)
sauce	saus(en)
savage	villmann(en)
save[s]	spare[r]
save[s|d]	redde[r|t]
savings	sparepenger
saw	sag(en)
saw	så
sawmill	sagbruk(et)
sawmill owner	sagbrukseier(en)
sawmill worker	"sagarbeider(en), sagbrugsarbeider(en), bordarbeider(en)"
say[s]	si[er]
scale for weighing things	vekt(en)
scalp	skalp(en)
scant	knapp
scanty	knapp
scarcity	mangel(en)
scarcity of money	pengemangel(en)
scared	redd
scarlet fever	skarlangensfeber(en)
scary	skummel
scholarship	"stipend(et), stipendium(et)"
scholarship holder	stipendiat(en)
school	skole(n)
school district	skoledistrikt(et)
school teacher	skolelærer(en)
scissors	saks(en)
scorch[es|ed]	svi[r|dde]
scrap merchant	skraphandler(en)
scratch[es]	klø[r]
scratched	klødd[e]
scream	rope[r]
screen	skjerm(en)
scribe	skriver(en)
scrub[s]	skure[s]
scuffle	basketak(et)
sculptor	billedhugger(en)
sea	"hav(et), sjø(en)"
sea faring	sjøfarende
seagul	måke(n)
seal	sel(en)
seal	"segl(et), plombe(n)"
seaman	sjømann(en)
seamark	sjømerke(t)
seamen	sjøfolk(et)
seamens's church	sjømannskirke(n)
seamstress	"syerske(n), sypike(n)"
search	søk(et)
search[es]	søke[r]
seaserpent	sjøorm(en)
seaside	strand(en)
seaside resident	strandsitter(en)
season	årstid(en)
seat	sete(t)
seatbelt	sikkerhetsbelte(t)
second	andre
second	annen
second cousins	tremenning(en)
second hand	brukt
second lieutenant	fenrik(en)
second most	nest
second-hand car	bruktbil(en)
secondary school teacher	adjunkt(en)
secret	hemmelig
secretary	sekretær(en)
secretary-general	generalssekretær(en)
sect	sekt(en)
section	seksjon(en)
security	verdipapir(et)
seduce[s]	forføre[r]
seduced	forført[e]
seducer	forfører(en)
see[s]	se[r]
see	jevnfør
seedy	lurvete
seek[s]	søke[r]
seismic	seismisk
seismic knowhow	seismikk(en)
seize[s]	gripe[r]
seized	grep
seizure	anfall(et)
sell[s]	selge[r]
seller	selger(en)
select[s]	kåre[r]
selection	utvalg(et)
send[s]	sende[r]
senior	senior
senior citizen ticket	honnør(en)
senior civil servants	embetsmann(en)
senior hight school	gymnas(et)
senior manager	driftsjef(en)
sense[s]	ane[r]
sensed	ante
sent	sendt[e]
sentence[s]	dømme[r]
sentenced	dømt
separate	separat
separate[s]	"separere[r], skille[r]"
separated	"separert, skilt"
September	september
sequence of years	årrekke(n)
sergeant	sersjant(en)
serial number	løpenummer(et)
serious	alvorlig
seriousness	alvor(et)
sermon	prake(n)
servant	"tjener(en), husarbeider(en), tjenestekone(n), tjenestejente(n), tjenestepike(en), tjenestegutt(en)"
servants	tjenestefolk(et)
serve[s]	tjene[r]
serve[s] dinner	servere[r]
serve[s|d] prison term	sone[r|t]
served	tjente
service	tjeneste(n)
settled	bosatt
settle	bosette[r]
settlement	rud(en)
settler	bureiser(en)
seven	"syv, sju"
seventeen	sytten
seventeenth	syttende
seventieth	syttiende
seventh	"syvende, sjuende"
seventy	"søtti, sytti"
several	flere
severe	streng
sewer	kloakk(en)
sex	kjønn(et)
have sex	ha sex
sexton	klokker(en)
sexual intercourse	"samleie(t), sex(en)"
sexy girl	skreppe(n)
shady business	lyssky
shall	skal
shallow	grunn
shame	skam(men)
shameful	skammelig
shape	"form(en), struktur(en)"
share	"del(en), andel(en)"
share	"aksje(n), verdipapir(et)"
share of inheritance	arvelodd(et)
share[s]	dele[r]
shareholder	aksjonær(en)
sharp	skarp
sharpen[s|ed] the tip	spisse[r|t]
sharpshooter	skarpskytter(en)
she	hun
she-bear	binne(n)
shed	naust(et)
shed	skytje(en)
sheep	"sau(en), får(et)"
sheep stalls	sauehus(et)
sheet	laken(et)
sheet	plate(en)
sheet metal	blikk(et)
sheet metal worker	blikkenslager(en)
sheet metal worker	platearbeider(en)
shelf	reol(en)
shell	skjell(et)
shell	"skall(et), belg(en)"
sheltered	lun
shepherd	gjeter(en)
shepherd boy	gjetergutt(en)
sheriff	lensmann(en)
shine[s]	skinne[r]
shiny	blank
ship	"skip(et), skute(n), båt(en)"
ship master	skipper(en)
ship mate	styrmann(en)
ship[s|ed]	frakte[r|t]
shipbuilder	"skipsbygger(en), båtbygger(en)"
shipowner	reder(en)
shipping company	rederi(et)
shipwreck	forlis(et)
shipwreck[s]	forlise[r]
shipwrecked	forlist[e]
shirt	skjorte(n)
shit	dritt(et)
shock	sjokk(et)
shoe	sko(en)
shoemaker	skomaker(en)
shoot[s]	skyte[r]
shop	"butikk(en), forretning(en)"
shop assistant	"butikkmedarbeider(en), butikkekspeditør(en), ekspeditør(en), ekspeditrise(n)"
shop[s|ed]	handle[r|t]
shopgirl	ekspeditrise(n)
shopkeeper	"handelsmann(en), kremmer(en)"
shore	strand(en)
shore line	bredde(n)
short	"kort, stutt, knapp"
shorten[s|ed]	forkorte[r|t]
shortness	korthet(en)
should	skulle
shoulder	skulder(en)
shot	"skjøt, skutt"
shot	skudd(et)
show[s]	vise[r]
showed	viste
Shrovetide	fastelaven
shrub	busk(en)
shudder	iling(en)
shut down	nedla[gt]
shut[s]	stenge[r]
shut[s] down	nedlegge[r]
shy	"forlegen, sjenert, sky"
siblings	"søsken(e), barneflokk(en)"
sick	syk
sick call	sykebesøk(et)
sickly	syklig
side	side(n)
sign	tegn(et)
sign	skilt(et)
sign[s]	underskrive[r]
sign[s|ed]	undertegne[r|t]
signal	signal(et)
signature	underskrift(en)
signed	underskrev
signpost	skilt(et)
signposting	skilting(en)
silk	silke(n)
silver	sølv(et)
silver mine	sølvgrube(n)
silver refinery	sølvverk(et)
silver refining work	sølvverksarbeide(t)
simmer[s]	småkoke[r]
simple	enkel
sin[s|ned]	synde[r|t]
since	siden
sing[s]	synge[r]
single	ugift
single item	enkel
single person	enslig
singular	entall
sinker	søkke(t)
sister-in-law	svigerinne(n)
sister	søster(en)
sister's daughter	søsterdatter(en)
sister's son	søstersønn(en)
sit[s]	sitte[r]
situation	forhold(et)
six	seks
sixteen	seksten
sixteenth	sekstende
sixth	sjette
sixtieth	sekstiende
sixty	seksti
skate[s]	skøyte[r]
skerries	skjærgård(en)
sketch	skisse(n)
ski	ski(en)
skid[s]	gli[r]
skim[s|med]	skumme[r|t]
skin	hud(en)
skinny	mager
skipper	skipper(en)
sky	himmel (himlen)
slander[s]	baktale[r]
slander[s|d]	sladre[r|t]
slandered	baktalte
slaughter	slakt(en)
slave	slave(n)
slay[s]	felle[r]
sleap[s|ed]	sove[r|t]
sleet	sludd
slid	skled
slide[s]	"skli[r], gli[r]"
slim	slank
sloping	skrå
slope	skråning(en)
slow	sakte
sly	slu
small	"liten, små, smått, lille"
smallpox	kopper
smallest	minste
smart	gløgg
smear[s]	smøre[r]
smeared	smurt[e]
smear[s]	kline[r]
smeared	klint[e]
smile	smil(et)
smile[s]	smile[r]
smiled	smilt[e]
smithy	smie(n)
smoke	røyk(en)
snail	sneile(n)
snake	slange(n)
sneak[s]	snike[r]
sneak[s]	liste[r]
sneaked	snek
snooze	lur(en)
snow	"snø(en), sne(en)"
snow crust	skare(n)
so	så
so called	såkalt
soap	såpe(n)
social	sosial
social centre	kulturhus(et)
social rank	stand(en)
social worker	sosialkurator(en)
socially benefitial	samfunnsnyttig
socially disadvantaged	vanskeligstilt
society	samfunn(et)
soda pop	brus(en)
soft	"bløt, blaut"
soil	jord(en)
sold	solgt[e]
soldier	soldat(en)
solicitor	"advokat(en), sakfører(en)"
solution	løsning(en)
solve[s]	løse[r]
some	noen
someone	noen
something	"noe, noen"
son	sønn(en)
son with allodal right	odelsgutt(en)
son's daughter	sønnedatter(en)
son's son	sønnesøn(en)
son-in-law	svigersønn(en)
song	sang(en)
song	vise(n)
soon	snart
soot	sot(et)
sorrow	sorg(en)
sort	type(en)
sort of	liksom
sort[s]	sortere[r]
sorting	sortering(en)
soul	sjel(en)
soul	sinn(et)
sound	"lyd(en), låt(en)"
sound	sund(et)
sound boarding	stubbeloft(et)
sour	sur
sour cream	rømme(n)
sour cream porridge	rømmegrøt(en)
source	kilde(n)
south	syd
southern	"sydlig, søndre"
south	"syd, sør"
sow[s|ed]	så[r|dde]
[sow|sows|sew]	sy[r|dde]
Spanish	spansk
Spanish flu	spanskesyke(n)
spa	bad(et)
space	"plass(en), rom(met)"
spanning	på tvers
spare	reserve
spark	gnist(en)
sparse	glissen
spawn	rogn(en)
speak[s]	snakke[r]
spear	spyd(et)
special	spesiell
species	art(en)
spectacles	brille(n)
spectator	tilskuer(en)
spectre	gjenganger(en)
speech	tale(n)
speech	innlegg(et)
held a speech	talte
hold[s] a speech	tale[r]
speed	fart(en)
spell[s|ed]	stave[r|t]
spell of work	økt(en)
spend[s] one's time	tilbringe[r]
spin[s]	spinne[r]
spine	ryggrad(en)
spineless animal	bløtdyr(et)
spinner	"spinner(en), spinnerske(n)"
spinning wheel	rokk(en)
spinning mill worker	spinneriarbeider(en)
spirit	ånd(en)
spirit	sprit(en)
spirits	brennevin(en)
spit [spits|spat]	spytte[r|t]
split	sprakk
split[s]	sprekke[r]
spoil[s]	skamfere[r]
sponge	svamp(en)
sponge cake	sukkerbrød(et)
sponsor	"sponsor(en), fadder(en)"
spoon	skje(en)
spouse	ektefelle(n)
spray[s|ed]	sprute[r|t]
spring	vår(en)
mechanical spring	fjær(en)
spring-time farmwork	våronne(n)
spruce	gran(en)
spun	spunnet
spy	spion(en)
[spy|spies]	spionere[r]
squadron	skvadron(en)
squadron leader	major(en)
squeeze[s]	klemme[r]
squeezed	klemt[e]
squint[s|ed]	myse[r|t]
squirt[s|ed]	sprute[r|t]
square	rute(en)
stability	stabilitet(en)
stable	stall(en)
stable	stabil
stagecoach	skyssvogn(en)
stained-glass	glassmaleri(et)
stake	stake(n)
stall	bås(en)
stammer[s|ed]	stamme[r|t]
stand[s]	stå[r]
stand-in	vikar(en)
standard	"standard(en), klasse(n)"
star	stjerne(n)
start[s]	utløse[r]
state	stat(en)
state	"tilstand(en), forfatning(en)"
state church	folkekirk(en)
state highway	riksvei(en)
stated	sa
station	stasjon(en)
station master	stasjonsmester(en)
statistics	statistikk(en)
status	status(en)
status	stilling(en)
status of occupant	bostatus(en)
stave church	stavkirke(et)
stay[s]	"bli[r], forbli[r]"
stay[s] at	oppholde[r]
stayed	ble
stayed at	oppholt
steep slope	bratt
steal[s]	stjele[r]
steam	damp(en)
steam[s|ed]	dampe[r|t]
steam-engine	dampmaskin(en)
steamship	dampskip(et)
stear[s]	styre[r]
stearing wheel	ratt(et)
step[s|ped]	tråkke[r|t]
stepbrother	stebror(en)
stepchild	stebarn(et)
stepdaughter	stedatter(en)
stepfather	stefar(en)
stepmother	stemor(en)
stepsister	stesøster(en)
stepson	stesønn(en)
stick	"stokk(en), kølle(n)"
stick of celery	selleristang(en)
sticky glue	klister(et)
stiff	stiv
stiff muscles	støl
still	"fortsatt, ennå"
stillborn	dødfødt
stir[s]	røre[r]
stock	verdipapir(et)
stockfish	stokkfisk(en)
stoker	fyrbøter(en)
stole	stjal
stomach	mage(n)
stomach ailment	magesyke(n)
stomach acid	magesyre(n)
stomach cramp	magekrampe(n)
stomach ulcer	magesår(et)
stone	"stein(en), sten(en)"
stonecutter	stenhugger(en)
stoneworker	stenarbeider(en)
stood	sto
stop	stopp
stop[s|ped]	stanse[r|t]
stop[s|ped]	stoppe[r|t]
stop[s|ped] fire or thirst	slukke[r|t]
storage	"lager(et), bod(en), bu(a)"
store	butikk(en)
store manager	butikksjef(en)
store[s|d]	lagre[r|t]
storehouse	stabbur(et)
story	"fotelling(en), historie(n)"
story	etasje(n)
stove	ovn(en)
straight	rett
straighten[s|ed]	rette[r|t]
strain	belastning(en)
strain[s]	spenne[r]
strait	sund(et)
strange	"rar, underlig, snodig"
strangle[s|d]	kverke[r|t]
strap[s]	spenne[r]
straw	strå(et)
strawberry	jordb&aaelig;r(et)
stream	elv(en)
street	gate(n)
street name	gatenavn(et)
street number	gatenummer(et)
strength	styrke(n)
stretch	spenne(t)
stretch[es]	spenne[r]
stretcher	båre(n)
string	bånd(et)
stripped	netto
stroke	"slag(et), hjerneslag(et), hjerneblødning(en)"
stroke[s]	stryke[r]
stroked	strøk
stroll	tur(en)
strong	sterk
structure	"konstruksjon(en), struktur(en)"
struggle	strid(en)
struggle[s]	slite[r]
struggled	slet
student	"student(en), elev(en), skolebarn(et)"
stupid	dum
style	stil(en)
subject	fag(et)
subject area	fagområde(t)
subparish priest	sogneprest(en)
subsequently	deretter
substantially	vesentlig
successor	etterfølger(en)
such	"sånn, sådan, slik"
such as	såsom
suck[s]	suge[r]
sucked	sugd[e]
sucking calfs	spekalv(en)
suction	sug(et)
sudden	brå
suddenly	plutselig
suffer[s]	lide[r]
suffered	led
suffering	lidelse(n)
sugar	sukker(et)
suicide	selvmord(et)
suit[s|ed]	kle[r|dde]
suitable	egnet
suitcase	koffert(en)
sum	"sum(mem), saldo(en)"
summarily	summarisk
summary	utdrag(et)
summer	sommer(en)
summons	stevning(en)
summon[s]	stevne[r]
sun	sol(en)
the sun	sola
Sunday	søndag(en)
superior	overlegen
supervisor	"formann(en), oppsynsmann(en), tilsynsmand(en), arbeidsleder(en)"
supplementary tax	ekstraskatt(en)
support	støtte(n)
support contract	kårbrev(et)
support of elderly people	kår
support of poor people	føderåd(et)
support[s|ed]	støtte[r|t]
support[s]	underholde[r]
supported man	kårmann(en)
supported people	kårfolk(et)
supported woman	kårkone(en)
supporter	forsørger(en)
supporting structure	bærekonstruksjon(en)
supreme	øverst
sure	sikker
surely	"visst, visstnok"
surgeon	kirug(en)
surgery	kirugi(en)
surname	"etternavn(et), familienavn(et), slektsnavn(et)"
surviving	"etterlevende, etterlatte"
survivors	"overlevende, gjenlevende"
sway	makt(en)
swear[s|ed]	sverge[r|t]
sweat	svett(en)
sweat[s|ed]	svette[r|t]
sweater	genser(en)
Sweden	Sverige
Swedish	svensk
sweet	"søt, søtt"
sweet heart	kjæreste(n)
swell[s] out	bule[r]
swelled out	bulte
swim	svømmetur(en)
swim briefs	badebukse(n)
swim suit	badedrakt(en)
swim[s]	svømme[r]
swindle	"svindel(en), bedrageri(et)"
swing	huske(n)
swing[s|ed] (on a swing)	huske[r|t]
switch	bryter(en)
swor	svor
sword	sverd(et)
sympathy	"sympati(en), deltagelse(n)"
syphilis	syfilis(en)
table cloth	duk(en)
tadpole	rumpetroll(et)
tailor	skredder(en)
[take|takes|taken]	ta[r|tt]
taken	tatt
talk[s|ed]	snakke[r|t]
tall	høy
tame	tam
tanner	garver(en)
tap[s|ed]	tappe[r|t]
tape[s|d]	tape[r|t]
target	blink(et)
tarn	tjern(et)
tarragon	estragon(en)
task	oppdrag(et)
taste	smak(en)
taste[s]	smake[r]
tasted	smakt[e]
tax assessment	"ligning(en), skatteligning(en)"
tax assessment basis	ligningsgrunnlag(et)
tax due	restskatt(en)
tax register	skatteliste(n)
taxation	skatt(en)
taxation roll	skatteliste(n)
taxi	drosje(n)
tea	te(en)
teacher	lærer(en)
teachers school	lærerskole(n)
teaching	lære(n)
team	lag(et)
team member	samarbeidspartner(en)
teamster	kusk(en)
tear[s] down	rive[r]
tease[s|d]	erte[r|t]
technique	teknikk(en)
technology	"teknologi(en), teknikk(en)"
teddybear	bamse(n)
telegraph	telegraf(en)
telegraph operator	telegrafist(en)
telephone	telefon(en)
the telephone company	televerket
telephone number	telefonnummer(et)
television	fjernsyn(et)
tell[s]	fortelle[r]
temper	"gemytt(et), sinnelag(et)"
temperance	avhold(et)
template	mal(en)
temporarily	midlertidig
tempt[s|ed]	friste[r|t]
temptation	fristelse(n)
tempting	fristende
ten	ti
tenacious	seig
tenant	"leieboer(en), leier(en), leietager(en)"
new tenant	innflytter(en)
tenant farmer	"forpakter(en), leilending(en), husmann(en)"
tenant farmer's contract	husmannsseddel(en)
tenant farmer's daughter	husmannsdatter(en)
tenant farmer's son	husmannssønn(en)
tenant farmer's wife	husmannskone(n)
tend[s]	pleie[r]
tended	pleide
tender	mør
tenderness	nærhet(en)
tent	telt(et)
tenth	tiende
term of years	åremål(et)
test	prøve(n)
testament	testament(et)
[testify|testifies|testified]	vitne[r|t]
[testify|testifies|testified]	bevitne[r|t]
testimony	vitnesbyrd(et)
text	tekst(en)
textile	tekstil(en)
textile engineer	tekstilingeniør(en)
textile worker	tekstilarbeider(en)
thank you	tusen takk
thank you very much	takk skal du ha
thank[s|ed]	takke[r|t]
thanks	takk
thanks	takk(en)
thanks a lot	takker så mye
that	"at, som, den, det"
the	"den, det, de"
theater	teater(et)
theater play	skuespill(et)
their	deres
them	dem
then	da
therapist	terapeut(en)
therapy	terapi(en)
there	der
therefore	derfor
thesis	avhandling(en)
these	disse
they	de
thick	tykk
thief	tyv(en)
thimble	fingerbøl(en)
thin	tynn
thing	ting(en)
think[s]	tenke[r]
third	"tredde, tredje"
third cousin	firmenning(en)
thirteen	tretten
thirteenth	trettende
thirty	"tretti, tredve"
this	"denne, dette"
those	de
thought	"tenkte, synte"
thousand	tusen
thrash[es|ed]	slå[r|tt]
thread	"tråd(en), line(n)"
three	tre
threw up	spøy
thrifty	sparsom
throat	hals(en)
throat	strupe(n)
throttle[s|ed]	kverke[r|t]
through	"gjennom, igjennom"
throw [throws|threw]	kaste[r|t]
throw [throws|threw] up	spy[r|dde]
Thursday	torsdag(en)
thus	"slik, således"
ticket	billett(en)
tidy [tidies|tidied]	rydde[r|t]
tie[s]	binde[r]
tie[s] up	båndlegge[r]
tied up	båndlagt
tight	tett
tighten[s]	spenne[r]
timber	tømmer(et)
timber building	tømmerbygning(en)
timber floating	fløyting(a)
time	"tid(en), klokke(n)"
time period	tidsperiode(n)
timid	spe
tinsel	glitter(et)
tiny	bitte
tip	spiss(en)
tiptoe[s|d]	liste[r|t]
tired	"trett, mo, lei"
title	tittel(en)
to	"til, for"
to do something	å gjøre noe
today	idag
today's	dagens
toe	tå(en)
toes	tær(ene)
together	sammen
toil	strev(et)
toilet	do(en)
toilet {vulgar}	dass(en)
told	fortalte
tomorrow	imorgen
tonight	inatt
too	for
took	tok
tooth	tann(en)
top	topp(en)
top	øverst
topic	emne(t)
topmost	øverst
total	"total(en), saldo(en)"
touch[es]	røre[r]
tough	seig
tour	reise(n)
tour guide	reiseleder(en)
toward	mot
town	by(en)
Tuesday	tirsdag(en)
track	bane(n)
trackless	ulendt
trade	handel(en)
trade	"håndverk(et), fag(et)"
trade	næringsvei(en)
trade and industry	næringsliv(et)
trade union	fagforening(en)
trade union representative	ombudsmann(en)
trade[s|d]	handle[r|t]
trader	handelsmann(en)
tradesman	håndverker(en)
tragedy	tragedie(n)
tragic	tragisk
train	tog(et)
train driver	"lokfører(en), lokomotivfører(en)"
traitor	quisling(en)
tramp	fant(en)
transaction charge for money exchange	vekslingsgebyr(et)
transcript	avskrift(en)
transfer	overdraging(en)
transfer[s]	"overlate[r], overdra[r]"
transfered	overdro
transgression	overtredelse(n)
transmission	"overføring(en), transmisjon(en)"
transmission technology	transmisjonsteknologi(en)
transmit[s]	overføre[r]
transparency	gjennomsiktighet
transparent	gjennomsiktig
trap	felle(n)
trapper	jeger(en)
trash	rask(et)
travel[s]	"reise[r], vandre[r]"
travelled	reiste
travellers	reisende
travelling	reisende
travelling bag	reiseveske(n)
travelling exhibition	vandreutstilling(en)
travelling salesman	handelsreisende
treasure	skatt(en)
treat[s|ed]	behandle[r|t]
treat[s]	spandere[r]
treated	spandert[e]
treatment	kur(en)
tree	tre(et)
tree-stump	stubbe(n)
tree-stump puller	stubbebryter(en)
tribe	stamme(n)
trip	tur(en)
troll	troll(et)
pack of trolls	trollpakk(et)
trout	ørret(en)
truck	lastebil(en)
TRUE	sant
trunk	stamme(n)
trust	tillit(en)
trust	stiftelse(n)
truth	sanhet(en)
truthfull	sanferdig
[try|tries|tried]	prøve[r|t]
tuburculosis	tuberkulose(n)
tuberculosis	tæring(en)
tug	rykk(et)
tumor	svulst(en)
tune	låt(en)
tunnel	tunnel(en)
turdent in sernior hight school	gymnasiast(en)
turn	sving(en)
turn	slyng(en)
turn[s|ed]	snu[r|dde]
tussle	basketak(et)
tutor	privatlærer(en)
twelfth	tolvte
twelve	tolv
twentieth	tyvende
twenty	"tyve, tjue"
twilight	demring[en]
twin	tvilling(en)
twinkle[s|d]	"blinke[r|t], blunke[r|t]"
two	to
two story building	toetasjers
two-hundred	tohundre
type	type
typhoid fever	tyfus(en)
typhus	nervefeber(en)
typograher	typograf(en)
ugly	stygg
un..	u..
unattended farm	ødegård(en)
unawares	uforvarende
uncertain	uviss
uncle	"onkel(en), farbror(en), morbror(en)"
undaunted	uforfærdet
under	under
under age	mindreårig
